lulusan_id,mahasiswa_id,prodi_id,tanggal_lulus,ipk,lama_studi_bulan,status_pasca_lulus,nama_perusahaan,bidang_kerja,masa_tunggu_bulan,sumber_data,ingested_at
LLS2e329af9,2023FT48661,FT,2027-01-01,3.08,65,Bekerja,Bank Indonesia,Sesuai,10,Tracer Study,2026-05-17T15:02:44+07:00
LLS3ed72fbd,2019FIS40367,FIS,2025-07-14,3.31,65,Belum Bekerja,Universitas Indonesia,Sesuai,2,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS54f14c0c,2021SI17509,SI,2025-03-04,3.24,68,Bekerja,Unila,Tidak Sesuai,5,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSa3c4570c,2017AG33198,AG,2023-02-11,3.53,47,Belum Bekerja,PT Bukit Asam,Tidak Sesuai,13,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS9be06035,2021TLK07356,TLK,2025-01-16,3.73,62,Bekerja,,Tidak Sesuai,16,Tracer Study,2026-05-17T15:02:44+07:00
LLS2c374d84,2019MTK02402,MTK,2023-01-17,3.92,53,Bekerja,,Sesuai,0,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS5ca60eff,2019TE28827,TE,2023-03-23,3.59,54,Bekerja,,Sesuai,4,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS6447371e,2016TLK05500,TLK,2022-06-08,3.8,44,Bekerja,UNDP Indonesia,Sesuai,11,Tracer Study,2026-05-17T15:02:44+07:00
LLSa23bbaf6,2019GD09060,GD,2025-04-08,2.77,50,Studi Lanjut,TU Delft,Tidak Sesuai,4,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSe5454b93,2017IF32798,IF,2023-03-05,3.12,53,Belum Bekerja,Universitas Lampung,Tidak Sesuai,16,Tracer Study,2026-05-17T15:02:44+07:00
LLSe96151ef,2020PWK11901,PWK,2024-04-10,3.39,48,Bekerja,,Sesuai,12,Tracer Study,2026-05-17T15:02:44+07:00
LLSa3df4159,2017GD45809,GD,2022-01-31,3.2,46,Bekerja,UNDP Indonesia,Tidak Sesuai,17,Tracer Study,2026-05-17T15:02:44+07:00
LLS5a55e23d,2018TS05911,TS,2022-06-12,3.92,60,Bekerja,IPB University,Tidak Sesuai,11,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSeb1be760,2019TE34370,TE,2025-06-23,3.25,62,Wirausaha,World Bank Jakarta,Sesuai,14,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS23674099,2017FIS23645,FIS,2021-03-13,2.93,72,Belum Bekerja,,Tidak Sesuai,16,Tracer Study,2026-05-17T15:02:44+07:00
LLS7c17d647,2021SK27613,SK,2025-06-14,2.98,54,Studi Lanjut,PT Astra International,Tidak Sesuai,5,Tracer Study,2026-05-17T15:02:44+07:00
LLS67f1589e,2020IF18380,IF,2024-07-20,2.98,65,Belum Bekerja,IPB University,Sesuai,16,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSb8d0c841,2022SK48864,SK,2026-01-01,3.05,71,Wirausaha,BMKG,Sesuai,6,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSc09dcdf8,2016TE05285,TE,2021-05-20,2.79,53,Bekerja,,Tidak Sesuai,5,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSe5421260,2022SK28488,SK,2026-01-01,3.88,59,Bekerja,BMKG,Sesuai,14,Tracer Study,2026-05-17T15:02:44+07:00
LLSe29c556d,2018KIM00816,KIM,2022-04-15,2.79,72,Wirausaha,Chulalongkorn University,Tidak Sesuai,6,Tracer Study,2026-05-17T15:02:44+07:00
LLS9de7d50c,2021TI05900,TI,2025-04-01,3.02,62,Belum Bekerja,BMKG,Sesuai,7,Tracer Study,2026-05-17T15:02:44+07:00
LLS05790fce,2017TK00305,TK,2022-11-16,2.93,59,Bekerja,PT Pertamina,Sesuai,11,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS646ff3be,2022MB49854,MB,2026-01-01,3.57,66,Bekerja,TU Delft,Sesuai,12,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSccae07a7,2019MTK23110,MTK,2025-10-02,3.73,66,Belum Bekerja,Osaka University,Tidak Sesuai,4,Tracer Study,2026-05-17T15:02:44+07:00
LLS6a487a1e,2018PWK19200,PWK,2023-03-15,2.98,48,Wirausaha,,Tidak Sesuai,14,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS6507bfb4,2016KIM49365,KIM,2021-09-08,3.64,72,Belum Bekerja,,Tidak Sesuai,11,Tracer Study,2026-05-17T15:02:44+07:00
LLS4a511712,2022SI23162,SI,2026-01-01,3.31,70,Studi Lanjut,,Tidak Sesuai,7,Tracer Study,2026-05-17T15:02:44+07:00
LLS6a22e0a8,2018TE36305,TE,2022-02-09,2.77,61,Bekerja,Unila,Tidak Sesuai,10,Tracer Study,2026-05-17T15:02:44+07:00
LLSeab7d275,2016GL43624,GL,2020-10-20,3.39,45,Belum Bekerja,BMKG,Sesuai,0,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSbee8e2d9,2016SI01129,SI,2020-04-08,3.77,68,Bekerja,,Tidak Sesuai,18,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS172db8c2,2023GL20915,GL,2027-01-01,3.61,54,Belum Bekerja,LIPI,Sesuai,15,Tracer Study,2026-05-17T15:02:44+07:00
LLSb093caa4,2022AG04075,AG,2026-01-01,3.52,45,Studi Lanjut,JICA Indonesia,Tidak Sesuai,13,Tracer Study,2026-05-17T15:02:44+07:00
LLS1bf49c01,2023SI02742,SI,2027-01-01,3.69,62,Belum Bekerja,Politeknik Negeri Lampung,Tidak Sesuai,1,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS9062d9a5,2017GD38724,GD,2021-04-19,2.87,72,Wirausaha,LIPI,Tidak Sesuai,16,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS9bf37a0a,2019FIS02434,FIS,2025-04-26,3.68,55,Bekerja,BPS Lampung,Sesuai,14,Tracer Study,2026-05-17T15:02:44+07:00
LLScec0438f,2016AR01469,AR,2020-05-09,3.14,52,Belum Bekerja,,Tidak Sesuai,9,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSc991e151,2017PWK22132,PWK,2023-02-28,3.22,49,Belum Bekerja,ITB,Tidak Sesuai,11,Tracer Study,2026-05-17T15:02:44+07:00
LLSb044845b,2018IF40112,IF,2024-12-25,3.48,55,Belum Bekerja,Universitas Lampung,Tidak Sesuai,5,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS78da6277,2021MTK31835,MTK,2025-09-06,2.82,45,Studi Lanjut,Universiti Malaya,Sesuai,6,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSafed4ce9,2019TI22725,TI,2023-09-19,2.86,67,Bekerja,LIPI,Tidak Sesuai,16,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSe6cb9675,2016TP31227,TP,2021-01-30,3.71,61,Belum Bekerja,Kyushu University,Tidak Sesuai,18,Tracer Study,2026-05-17T15:02:44+07:00
LLS3af4a14a,2019TG24200,TG,2024-11-29,3.94,59,Wirausaha,,Sesuai,8,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSb45c2787,2022IF08850,IF,2026-01-01,3.24,57,Studi Lanjut,Universiti Malaya,Tidak Sesuai,8,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS0a25a33e,2020GL11088,GL,2024-01-10,3.53,44,Belum Bekerja,,Sesuai,10,Tracer Study,2026-05-17T15:02:44+07:00
LLS3c621cef,2016IF14274,IF,2022-12-08,3.42,58,Wirausaha,Bank Indonesia,Sesuai,10,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSc132568f,2017PWK08035,PWK,2022-05-10,3.29,59,Wirausaha,Politeknik Negeri Lampung,Tidak Sesuai,2,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS96015fa3,2020TL19574,TL,2024-04-30,3.49,71,Belum Bekerja,Universitas Indonesia,Tidak Sesuai,17,Tracer Study,2026-05-17T15:02:44+07:00
LLS92b005c0,2017TI16107,TI,2021-07-10,3.17,58,Bekerja,World Bank Jakarta,Tidak Sesuai,6,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSe622878f,2021TE11778,TE,2025-04-30,3.11,45,Belum Bekerja,Osaka University,Sesuai,1,Tracer Study,2026-05-17T15:02:44+07:00
LLS1f072b99,2016FT35725,FT,2022-06-30,3.03,64,Studi Lanjut,IPB University,Sesuai,17,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS40683e1a,2018TS06493,TS,2023-05-16,3.37,67,Bekerja,PT Astra International,Tidak Sesuai,11,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS7ba67573,2022AR20609,AR,2026-01-01,2.83,67,Wirausaha,NUS Singapore,Tidak Sesuai,8,Tracer Study,2026-05-17T15:02:44+07:00
LLS444a142f,2019GD04937,GD,2024-11-18,3.42,52,Bekerja,Unila,Tidak Sesuai,11,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSf070e248,2023SK37005,SK,2027-01-01,3.45,61,Bekerja,Unila,Sesuai,7,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSef7d8441,2018TL33381,TL,2023-10-28,2.94,65,Studi Lanjut,,Tidak Sesuai,1,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSccf2d047,2017TM03824,TM,2022-09-22,3.65,64,Belum Bekerja,,Sesuai,12,Tracer Study,2026-05-17T15:02:44+07:00
LLSefdda5a0,2018MTK11910,MTK,2024-02-27,3.63,45,Bekerja,,Tidak Sesuai,11,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS7d7af843,2019SI30492,SI,2023-06-28,3.87,62,Bekerja,,Tidak Sesuai,3,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS1de813db,2021FIS01757,FIS,2025-11-19,3.83,42,Bekerja,,Sesuai,8,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS4594553e,2021FIS19272,FIS,2025-02-22,3.7,56,Studi Lanjut,PT Telkom Indonesia,Sesuai,2,Tracer Study,2026-05-17T15:02:44+07:00
LLS7173c169,2016TI17122,TI,2021-02-08,3.83,60,Bekerja,LIPI,Tidak Sesuai,7,Tracer Study,2026-05-17T15:02:44+07:00
LLSa28e9c89,2022MTK48832,MTK,2026-01-01,3.06,65,Belum Bekerja,Google Indonesia,Sesuai,13,Tracer Study,2026-05-17T15:02:44+07:00
LLSe3b98e6a,2018GL18632,GL,2022-10-31,3.59,53,Studi Lanjut,NUS Singapore,Sesuai,7,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS80f0c69b,2023TL16024,TL,2027-01-01,2.94,59,Belum Bekerja,Google Indonesia,Sesuai,10,Tracer Study,2026-05-17T15:02:44+07:00
LLSace3209d,2019TM28981,TM,2023-12-27,3.65,69,Bekerja,PT Pertamina,Tidak Sesuai,8,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS6934fef7,2016KIM08309,KIM,2020-10-07,3.95,60,Studi Lanjut,,Tidak Sesuai,13,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS44ec5755,2018TE27241,TE,2023-02-09,3.66,49,Bekerja,,Tidak Sesuai,2,Tracer Study,2026-05-17T15:02:44+07:00
LLSc332e4c4,2019TS45118,TS,2024-02-05,3.18,54,Bekerja,BRIN,Sesuai,2,Tracer Study,2026-05-17T15:02:44+07:00
LLS58677b65,2020IF28680,IF,2024-08-08,2.77,51,Belum Bekerja,Huawei Indonesia,Tidak Sesuai,12,Tracer Study,2026-05-17T15:02:44+07:00
LLS2b3c3802,2016KIM38758,KIM,2021-10-08,3.78,71,Bekerja,ITS,Sesuai,4,Tracer Study,2026-05-17T15:02:44+07:00
LLS00f2a4ef,2022SI34960,SI,2026-01-01,3.16,50,Belum Bekerja,LIPI,Sesuai,9,Tracer Study,2026-05-17T15:02:44+07:00
LLS24c9a4cd,2019PWK44085,PWK,2024-02-19,2.94,46,Studi Lanjut,,Sesuai,14,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSd8f14164,2023PWK46754,PWK,2027-01-01,3.75,61,Wirausaha,Telkom University,Sesuai,14,Tracer Study,2026-05-17T15:02:44+07:00
LLS81ce8e2a,2023GD05732,GD,2027-01-01,2.9,53,Belum Bekerja,Politeknik Negeri Lampung,Sesuai,2,Tracer Study,2026-05-17T15:02:44+07:00
LLS03299f58,2020IF06672,IF,2024-10-13,3.22,48,Studi Lanjut,PT Pertamina,Sesuai,6,Tracer Study,2026-05-17T15:02:44+07:00
LLS82ae861a,2019AR45098,AR,2023-12-06,3.72,42,Studi Lanjut,,Sesuai,5,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSf802083e,2018MTK29994,MTK,2022-04-30,2.8,58,Bekerja,Kyushu University,Sesuai,13,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS6f4db9de,2021AR19689,AR,2025-07-16,3.86,59,Wirausaha,,Sesuai,15,Tracer Study,2026-05-17T15:02:44+07:00
LLS43803cd6,2023MB38073,MB,2027-01-01,3.2,66,Wirausaha,NUS Singapore,Sesuai,0,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS8447ed29,2022TE07632,TE,2026-01-01,3.34,43,Bekerja,,Tidak Sesuai,16,Tracer Study,2026-05-17T15:02:44+07:00
LLS45be1d3e,2019TS39443,TS,2025-12-22,3.71,67,Studi Lanjut,LIPI,Sesuai,16,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSa1d0795e,2023MB04146,MB,2027-01-01,3.01,43,Bekerja,Huawei Indonesia,Sesuai,12,Tracer Study,2026-05-17T15:02:44+07:00
LLS3c8cd39f,2023KIM41059,KIM,2027-01-01,3.28,48,Bekerja,Huawei Indonesia,Tidak Sesuai,5,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSe28b82f6,2022TK43288,TK,2026-01-01,2.84,60,Belum Bekerja,Google Indonesia,Tidak Sesuai,7,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS808816e7,2022TP15133,TP,2026-01-01,3.05,48,Belum Bekerja,World Bank Jakarta,Tidak Sesuai,7,Tracer Study,2026-05-17T15:02:44+07:00
LLSa1e4872c,2020AG46055,AG,2025-08-05,3.28,47,Belum Bekerja,,Tidak Sesuai,18,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSe9673b9b,2021TE08411,TE,2025-06-17,2.81,47,Belum Bekerja,PT Telkom Indonesia,Tidak Sesuai,4,Tracer Study,2026-05-17T15:02:44+07:00
LLSf1795df9,2020TM17743,TM,2024-01-01,2.82,60,Bekerja,Bank Indonesia,Tidak Sesuai,9,Tracer Study,2026-05-17T15:02:44+07:00
LLS92cb6ae1,2017TP05563,TP,2022-08-04,3.24,50,Bekerja,Kyushu University,Sesuai,3,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS04873161,2020AG32352,AG,2024-08-23,2.93,52,Bekerja,Telkom University,Sesuai,1,Tracer Study,2026-05-17T15:02:44+07:00
LLSd3b67af7,2022IF22404,IF,2026-01-01,3.35,61,Bekerja,PT Bukit Asam,Tidak Sesuai,6,Tracer Study,2026-05-17T15:02:44+07:00
LLS727c1a8b,2017BIO09797,BIO,2022-07-17,2.85,47,Belum Bekerja,Kyushu University,Tidak Sesuai,9,Tracer Study,2026-05-17T15:02:44+07:00
LLS55a8e3a7,2021IF36894,IF,2025-10-26,2.99,69,Belum Bekerja,Universitas Lampung,Tidak Sesuai,10,Tracer Study,2026-05-17T15:02:44+07:00
LLS8ba78ce3,2021TG24393,TG,2025-05-16,3.13,71,Bekerja,BRIN,Sesuai,12,Tracer Study,2026-05-17T15:02:44+07:00
LLS73cc04e1,2022BIO22718,BIO,2026-01-01,2.98,52,Studi Lanjut,Politeknik Negeri Lampung,Sesuai,16,Tracer Study,2026-05-17T15:02:44+07:00
LLS30b9b0c3,2017TL09091,TL,2023-08-03,3.03,59,Bekerja,Universitas Lampung,Tidak Sesuai,10,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSc988cb64,2019TG03674,TG,2023-04-15,2.81,71,Belum Bekerja,,Tidak Sesuai,9,Tracer Study,2026-05-17T15:02:44+07:00
LLS5519c362,2022TE14533,TE,2026-01-01,2.98,59,Bekerja,World Bank Jakarta,Tidak Sesuai,9,Tracer Study,2026-05-17T15:02:44+07:00
LLS2eb7c5ee,2022SI09890,SI,2026-01-01,2.98,49,Studi Lanjut,,Tidak Sesuai,9,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS293cbbfe,2017SK44672,SK,2022-04-12,3.86,67,Belum Bekerja,ITS,Tidak Sesuai,2,Tracer Study,2026-05-17T15:02:44+07:00
LLSf95f221e,2019TLK03372,TLK,2025-01-07,2.94,63,Bekerja,PT Astra International,Sesuai,1,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS0adb5ee9,2023GL10213,GL,2027-01-01,3.25,65,Studi Lanjut,Universitas Indonesia,Sesuai,9,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS8eac40d6,2020PWK20733,PWK,2024-07-10,3.7,54,Belum Bekerja,,Tidak Sesuai,17,Tracer Study,2026-05-17T15:02:44+07:00
LLS326e9b45,2022BIO19421,BIO,2026-01-01,3.84,72,Bekerja,,Sesuai,8,Tracer Study,2026-05-17T15:02:44+07:00
LLS9a5565f5,2018GD18309,GD,2022-03-06,3.63,66,Bekerja,JICA Indonesia,Tidak Sesuai,9,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS7af19895,2021AG05172,AG,2025-03-12,3.38,64,Belum Bekerja,PT Astra International,Tidak Sesuai,14,Tracer Study,2026-05-17T15:02:44+07:00
LLS13a62015,2017SI39842,SI,2022-01-09,3.24,47,Belum Bekerja,Kyushu University,Tidak Sesuai,9,Tracer Study,2026-05-17T15:02:44+07:00
LLS1d920e48,2016TE49074,TE,2022-08-04,3.42,55,Belum Bekerja,Unila,Tidak Sesuai,8,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS17ce7c49,2018TS01627,TS,2023-01-15,3.27,50,Bekerja,,Tidak Sesuai,4,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS6b3bd4e6,2022SK32165,SK,2026-01-01,3.91,42,Bekerja,UNDP Indonesia,Sesuai,7,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS57d5ae93,2017TK18103,TK,2021-09-05,3.01,66,Bekerja,PT PLN,Tidak Sesuai,12,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS3559365b,2016SK44086,SK,2020-07-06,2.98,68,Bekerja,,Sesuai,14,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSecd121f9,2017TI10141,TI,2022-01-23,3.24,56,Bekerja,Telkom University,Sesuai,12,Tracer Study,2026-05-17T15:02:44+07:00
LLSc21ac487,2017MTK00915,MTK,2023-07-16,3.05,67,Wirausaha,Kyushu University,Tidak Sesuai,16,Tracer Study,2026-05-17T15:02:44+07:00
LLS9748759a,2022SK33496,SK,2026-01-01,3.59,67,Studi Lanjut,Unsri,Tidak Sesuai,8,Tracer Study,2026-05-17T15:02:44+07:00
LLS77978dfc,2022TM46684,TM,2026-01-01,3.13,46,Bekerja,,Sesuai,7,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS3377da34,2023TL10447,TL,2027-01-01,2.87,48,Bekerja,World Bank Jakarta,Sesuai,4,Tracer Study,2026-05-17T15:02:44+07:00
LLS98236299,2018GL03834,GL,2022-03-13,3.79,69,Belum Bekerja,PT Telkom Indonesia,Sesuai,18,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS43e63042,2021MB37677,MB,2025-03-04,3.92,59,Belum Bekerja,ITS,Tidak Sesuai,11,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSa59ed342,2016AR47541,AR,2021-11-24,3.62,45,Belum Bekerja,,Tidak Sesuai,8,Tracer Study,2026-05-17T15:02:44+07:00
LLS0bc26a82,2021BIO43153,BIO,2025-03-27,3.62,71,Bekerja,Toyota Motor Manufacturing,Sesuai,11,Tracer Study,2026-05-17T15:02:44+07:00
LLSad2d112d,2018SI35792,SI,2022-03-20,2.75,56,Bekerja,TU Delft,Tidak Sesuai,13,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSbd3ee0bd,2020TK27024,TK,2025-12-08,3.61,61,Studi Lanjut,Universitas Indonesia,Tidak Sesuai,9,Tracer Study,2026-05-17T15:02:44+07:00
LLS572be6c6,2022FT06150,FT,2026-01-01,3.62,43,Wirausaha,Kyushu University,Tidak Sesuai,2,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSbcf0e5d7,2023TLK38056,TLK,2027-01-01,3.49,46,Belum Bekerja,,Sesuai,1,Tracer Study,2026-05-17T15:02:44+07:00
LLS47b14ab3,2022KIM20286,KIM,2026-01-01,3.51,64,Belum Bekerja,,Sesuai,5,Tracer Study,2026-05-17T15:02:44+07:00
LLS76485280,2022SK10561,SK,2026-01-01,3.05,49,Belum Bekerja,PT PLN,Tidak Sesuai,1,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS781808ec,2021PWK38780,PWK,2025-08-15,3.26,46,Belum Bekerja,UGM,Sesuai,14,Tracer Study,2026-05-17T15:02:44+07:00
LLS7b28610a,2016MB31851,MB,2020-01-25,3.51,51,Belum Bekerja,Osaka University,Sesuai,10,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS086c4aed,2022AR12237,AR,2026-01-01,2.9,68,Wirausaha,Osaka University,Sesuai,18,Tracer Study,2026-05-17T15:02:44+07:00
LLS7101cc34,2020TK42817,TK,2024-05-20,3.89,57,Belum Bekerja,BPS Lampung,Tidak Sesuai,10,Tracer Study,2026-05-17T15:02:44+07:00
LLS9849e302,2022TK20691,TK,2026-01-01,3.22,43,Bekerja,,Sesuai,15,Tracer Study,2026-05-17T15:02:44+07:00
LLS6df35575,2020TM21562,TM,2025-02-20,3.07,64,Studi Lanjut,,Sesuai,13,Tracer Study,2026-05-17T15:02:44+07:00
LLSdb4248bf,2016SK34167,SK,2021-08-12,3.28,53,Belum Bekerja,,Tidak Sesuai,13,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS9f42aa49,2018SI01405,SI,2024-08-01,3.26,64,Belum Bekerja,LIPI,Sesuai,5,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS67bd26d2,2021TG30776,TG,2025-05-03,3.18,46,Bekerja,Universitas Lampung,Tidak Sesuai,1,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS7a34a0da,2023AG40616,AG,2027-01-01,3.47,60,Belum Bekerja,ITB,Tidak Sesuai,7,Tracer Study,2026-05-17T15:02:44+07:00
LLSae893b60,2017TL02045,TL,2023-04-18,2.96,62,Bekerja,PT Astra International,Tidak Sesuai,8,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSf80ab190,2016MTK25405,MTK,2021-02-21,3.68,44,Bekerja,BMKG,Tidak Sesuai,7,Tracer Study,2026-05-17T15:02:44+07:00
LLS246eaed5,2016AR44049,AR,2020-01-22,2.82,43,Wirausaha,Universiti Malaya,Sesuai,11,Tracer Study,2026-05-17T15:02:44+07:00
LLS5e7110e2,2023TLK48343,TLK,2027-01-01,2.86,52,Studi Lanjut,Osaka University,Tidak Sesuai,14,Tracer Study,2026-05-17T15:02:44+07:00
LLSf5c59fd9,2018MTK25737,MTK,2023-11-13,3.2,44,Belum Bekerja,Toyota Motor Manufacturing,Tidak Sesuai,10,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS78e4c865,2020GL34289,GL,2024-01-17,2.87,56,Wirausaha,BMKG,Sesuai,10,Tracer Study,2026-05-17T15:02:44+07:00
LLSf97762eb,2020TI34639,TI,2025-03-02,2.79,55,Belum Bekerja,IPB University,Sesuai,6,Laporan Wisuda,2026-05-17T15:02:44+07:00
