kegiatan_id,dosen_id,jenis_kegiatan,nama_institusi,tanggal_mulai,tanggal_selesai,tahun,ingested_at
KGTfe59abd2,0356527043,Pembina_Prestasi,ITB,2020-06-22,2020-11-29,2020,2026-05-17T15:02:44+07:00
KGT996b1de3,0356527043,Pembina_Prestasi,Osaka University,2025-06-17,2025-12-13,2025,2026-05-17T15:02:44+07:00
KGTaddad837,0356527043,Tridarma_PT_Lain,PT PLN,2021-04-18,2022-04-15,2021,2026-05-17T15:02:44+07:00
KGT813cad9a,0485717044,Tridarma_PT_Lain,Osaka University,2021-04-19,2022-02-23,2021,2026-05-17T15:02:44+07:00
KGT7f32bf80,0485717044,QS100,Unila,2021-03-02,2021-04-07,2021,2026-05-17T15:02:44+07:00
KGT9710d3ca,0485717044,Praktisi_Industri,Universitas Indonesia,2021-05-08,2022-04-10,2021,2026-05-17T15:02:44+07:00
KGT1779284d,0275572045,Tridarma_PT_Lain,Osaka University,2022-02-25,2022-04-18,2022,2026-05-17T15:02:44+07:00
KGTe70c00f5,0275572045,QS100,PT Astra International,2022-04-21,2022-08-07,2022,2026-05-17T15:02:44+07:00
KGT738b6074,0926738046,Pembina_Prestasi,LIPI,2021-03-11,2022-01-27,2021,2026-05-17T15:02:44+07:00
KGT8620806a,0926738046,Tridarma_PT_Lain,UNDP Indonesia,2021-01-16,2021-05-15,2021,2026-05-17T15:02:44+07:00
KGT3f7f3f5d,0260673047,Tridarma_PT_Lain,PT Pertamina,2023-05-28,2023-09-07,2023,2026-05-17T15:02:44+07:00
KGT7ca49d93,0260673047,Pembina_Prestasi,BRIN,2025-03-02,2025-04-02,2025,2026-05-17T15:02:44+07:00
KGTecc9af24,0260673047,Pembina_Prestasi,PT Pertamina,2021-05-18,2021-12-13,2021,2026-05-17T15:02:44+07:00
KGTb9a2cb48,0872403048,Praktisi_Industri,Bank Indonesia,2024-01-01,2024-04-21,2024,2026-05-17T15:02:44+07:00
KGTb3b3681d,0872403048,QS100,PT Telkom Indonesia,2024-01-03,2024-06-14,2024,2026-05-17T15:02:44+07:00
KGT4a8a2941,0763840049,Pembina_Prestasi,Universiti Malaya,2020-01-14,2020-03-18,2020,2026-05-17T15:02:44+07:00
KGTab62b259,0763840049,Tridarma_PT_Lain,Politeknik Negeri Lampung,2024-06-09,2024-07-31,2024,2026-05-17T15:02:44+07:00
KGTb706a2dc,0763840049,Praktisi_Industri,NUS Singapore,2025-06-18,2026-06-09,2025,2026-05-17T15:02:44+07:00
KGT256b34b8,0329951050,Tridarma_PT_Lain,ITS,2021-03-07,2021-07-22,2021,2026-05-17T15:02:44+07:00
KGT357e3589,0329951050,QS100,PT Telkom Indonesia,2022-03-31,2022-05-22,2022,2026-05-17T15:02:44+07:00
KGTddbe7805,0329951050,QS100,World Bank Jakarta,2023-01-13,2023-06-16,2023,2026-05-17T15:02:44+07:00
KGT086b0674,0329951050,Pembina_Prestasi,Bank Indonesia,2024-01-04,2024-11-18,2024,2026-05-17T15:02:44+07:00
KGTb0054bcc,0329951050,QS100,LIPI,2021-01-19,2021-07-19,2021,2026-05-17T15:02:44+07:00
KGTfaf3b7fa,0681227051,QS100,BMKG,2024-06-14,2025-06-09,2024,2026-05-17T15:02:44+07:00
KGT9dbb5683,0681227051,Pembina_Prestasi,PT Bukit Asam,2025-02-18,2026-02-02,2025,2026-05-17T15:02:44+07:00
KGTd912ace8,0745422052,QS100,IPB University,2020-03-05,2020-05-28,2020,2026-05-17T15:02:44+07:00
KGT017c0a64,0418293053,Praktisi_Industri,Unsri,2021-05-13,2021-11-05,2021,2026-05-17T15:02:44+07:00
KGT793ac43f,0418293053,QS100,Unila,2023-01-09,2023-08-27,2023,2026-05-17T15:02:44+07:00
KGT175799c3,0418293053,Pembina_Prestasi,IPB University,2023-02-22,2023-07-26,2023,2026-05-17T15:02:44+07:00
KGT1b554e88,0418293053,Tridarma_PT_Lain,Huawei Indonesia,2023-05-12,2024-04-24,2023,2026-05-17T15:02:44+07:00
KGT6077e2d0,0852677054,Tridarma_PT_Lain,PT Pertamina,2023-04-23,2024-03-08,2023,2026-05-17T15:02:44+07:00
KGT3dc7acb7,0852677054,Praktisi_Industri,Chulalongkorn University,2020-01-26,2020-04-30,2020,2026-05-17T15:02:44+07:00
KGTb78262b8,0309279055,Tridarma_PT_Lain,LIPI,2022-01-18,2022-03-03,2022,2026-05-17T15:02:44+07:00
KGT21a0eaef,0185174056,Praktisi_Industri,BPS Lampung,2020-01-28,2020-07-05,2020,2026-05-17T15:02:44+07:00
KGT03eca1eb,0185174056,Tridarma_PT_Lain,PT Bukit Asam,2023-04-15,2023-12-08,2023,2026-05-17T15:02:44+07:00
KGTfa54acfc,0510075057,Praktisi_Industri,UGM,2024-01-17,2025-01-10,2024,2026-05-17T15:02:44+07:00
KGT62b091b2,0510075057,QS100,Unsri,2020-03-20,2020-12-22,2020,2026-05-17T15:02:44+07:00
KGT107aa4ae,0510075057,Tridarma_PT_Lain,ITS,2024-03-28,2024-07-02,2024,2026-05-17T15:02:44+07:00
KGT5e7523d5,0510075057,Tridarma_PT_Lain,Bank Indonesia,2023-05-19,2024-02-15,2023,2026-05-17T15:02:44+07:00
KGTba32cc3e,0510075057,Pembina_Prestasi,Universitas Lampung,2022-01-05,2022-09-17,2022,2026-05-17T15:02:44+07:00
KGT194eebc1,0315635058,Pembina_Prestasi,Google Indonesia,2021-02-22,2021-04-15,2021,2026-05-17T15:02:44+07:00
KGT2f5eec41,0543779059,Pembina_Prestasi,UGM,2023-03-24,2023-07-17,2023,2026-05-17T15:02:44+07:00
KGTb7011063,0431352060,Praktisi_Industri,UGM,2024-03-07,2024-07-05,2024,2026-05-17T15:02:44+07:00
KGTc8b56367,0431352060,Pembina_Prestasi,UGM,2023-01-14,2024-01-11,2023,2026-05-17T15:02:44+07:00
KGT6ba7f5fc,0431352060,QS100,Universiti Malaya,2024-01-10,2024-03-17,2024,2026-05-17T15:02:44+07:00
KGT15d421f4,0484387061,Praktisi_Industri,Huawei Indonesia,2024-06-28,2024-08-07,2024,2026-05-17T15:02:44+07:00
KGTf3fc6e1c,0484387061,Tridarma_PT_Lain,Osaka University,2020-01-11,2020-06-06,2020,2026-05-17T15:02:44+07:00
KGTd857ae96,0718114062,QS100,Bank Indonesia,2021-01-31,2021-07-22,2021,2026-05-17T15:02:44+07:00
KGT31b2e93e,0718114062,Praktisi_Industri,World Bank Jakarta,2025-04-09,2026-03-28,2025,2026-05-17T15:02:44+07:00
KGT73203a63,0718114062,Tridarma_PT_Lain,PT Bukit Asam,2023-06-16,2023-08-24,2023,2026-05-17T15:02:44+07:00
KGTc7a854b1,0284136063,Pembina_Prestasi,Telkom University,2020-06-12,2020-08-16,2020,2026-05-17T15:02:44+07:00
KGT1239638c,0284136063,Praktisi_Industri,Politeknik Negeri Lampung,2021-04-08,2021-10-18,2021,2026-05-17T15:02:44+07:00
KGT8aa5e905,0284136063,Pembina_Prestasi,Toyota Motor Manufacturing,2023-01-25,2023-06-04,2023,2026-05-17T15:02:44+07:00
KGTbc0301d8,0284136063,Pembina_Prestasi,Universitas Lampung,2020-04-27,2020-11-30,2020,2026-05-17T15:02:44+07:00
KGT6ca22a9d,0363224064,Tridarma_PT_Lain,IPB University,2020-01-24,2020-10-14,2020,2026-05-17T15:02:44+07:00
KGT65c830bb,0363224064,Pembina_Prestasi,Universiti Malaya,2024-04-11,2024-08-22,2024,2026-05-17T15:02:44+07:00
KGT210ad1e6,0363224064,QS100,ITS,2021-05-08,2021-07-26,2021,2026-05-17T15:02:44+07:00
KGTe6e0dadc,0363224064,Praktisi_Industri,BMKG,2021-06-14,2021-07-27,2021,2026-05-17T15:02:44+07:00
KGT685263c8,0489290065,Praktisi_Industri,UNDP Indonesia,2021-01-01,2021-03-29,2021,2026-05-17T15:02:44+07:00
KGT58c6000b,0489290065,Praktisi_Industri,UGM,2021-01-21,2021-07-10,2021,2026-05-17T15:02:44+07:00
KGT888a60d8,0817855066,Tridarma_PT_Lain,PT Pertamina,2023-06-24,2024-02-10,2023,2026-05-17T15:02:44+07:00
KGT715b54e9,0817855066,QS100,Universitas Lampung,2023-05-08,2023-09-21,2023,2026-05-17T15:02:44+07:00
KGT73e74eae,0464666067,Pembina_Prestasi,BPS Lampung,2021-02-26,2021-10-27,2021,2026-05-17T15:02:44+07:00
KGTce46451e,0464666067,Praktisi_Industri,NUS Singapore,2024-02-09,2024-06-17,2024,2026-05-17T15:02:44+07:00
KGTa563f548,0464666067,QS100,Chulalongkorn University,2025-02-27,2026-01-28,2025,2026-05-17T15:02:44+07:00
KGTc744ba47,0655290068,QS100,Google Indonesia,2024-03-17,2024-05-03,2024,2026-05-17T15:02:44+07:00
KGT1335d0bc,0655290068,Pembina_Prestasi,Kyushu University,2023-01-08,2023-05-20,2023,2026-05-17T15:02:44+07:00
KGT20391a35,0892295069,Tridarma_PT_Lain,Politeknik Negeri Lampung,2024-03-15,2024-04-19,2024,2026-05-17T15:02:44+07:00
KGTda8912ea,0892295069,Pembina_Prestasi,Huawei Indonesia,2024-05-30,2025-02-10,2024,2026-05-17T15:02:44+07:00
KGTc8644f20,0892295069,Tridarma_PT_Lain,UNDP Indonesia,2020-02-07,2020-07-26,2020,2026-05-17T15:02:44+07:00
KGTc646ab9a,0892295069,Pembina_Prestasi,Unila,2022-01-12,2022-10-30,2022,2026-05-17T15:02:44+07:00
KGT0bc1ce6e,0958454070,QS100,PT PLN,2020-03-03,2020-05-30,2020,2026-05-17T15:02:44+07:00
KGTc74bfdff,0477331071,Tridarma_PT_Lain,ITS,2025-05-30,2025-08-27,2025,2026-05-17T15:02:44+07:00
KGT43183cd9,0477331071,Pembina_Prestasi,Google Indonesia,2023-04-04,2023-11-21,2023,2026-05-17T15:02:44+07:00
KGT9096b8a8,0477331071,Praktisi_Industri,Bank Indonesia,2022-04-10,2022-06-03,2022,2026-05-17T15:02:44+07:00
KGTb9e9967a,0477331071,QS100,BRIN,2023-05-11,2024-03-22,2023,2026-05-17T15:02:44+07:00
KGT93a9cda7,0477331071,QS100,PT Pertamina,2025-02-05,2025-05-19,2025,2026-05-17T15:02:44+07:00
KGTadb86c06,0823975072,Praktisi_Industri,PT Bukit Asam,2022-01-28,2022-04-12,2022,2026-05-17T15:02:44+07:00
KGT671caf5d,0823975072,Tridarma_PT_Lain,NUS Singapore,2023-03-26,2023-09-16,2023,2026-05-17T15:02:44+07:00
KGTaa415a13,0566731073,QS100,Universitas Indonesia,2021-05-12,2021-07-23,2021,2026-05-17T15:02:44+07:00
KGT0c684f4c,0566731073,Praktisi_Industri,BRIN,2023-04-13,2023-10-21,2023,2026-05-17T15:02:44+07:00
KGT884030e2,0763053074,Pembina_Prestasi,World Bank Jakarta,2023-05-05,2023-11-27,2023,2026-05-17T15:02:44+07:00
KGTf5efcb6d,0763053074,Tridarma_PT_Lain,UNDP Indonesia,2021-02-11,2021-05-22,2021,2026-05-17T15:02:44+07:00
KGTfb36c86e,0763053074,Pembina_Prestasi,World Bank Jakarta,2023-04-25,2024-01-21,2023,2026-05-17T15:02:44+07:00
KGT8543fc8c,0763053074,Tridarma_PT_Lain,PT Pertamina,2024-02-29,2024-11-12,2024,2026-05-17T15:02:44+07:00
KGT7a7bcb2c,0763053074,QS100,Universitas Lampung,2024-02-05,2024-09-26,2024,2026-05-17T15:02:44+07:00
KGTed7888fa,0151811075,QS100,BMKG,2024-04-13,2024-11-06,2024,2026-05-17T15:02:44+07:00
KGT1283a5c0,0151811075,Tridarma_PT_Lain,PT Telkom Indonesia,2021-02-21,2021-08-27,2021,2026-05-17T15:02:44+07:00
KGT13547542,0151811075,Pembina_Prestasi,PT Pertamina,2024-02-05,2025-01-12,2024,2026-05-17T15:02:44+07:00
KGT6ea6027f,0151811075,QS100,Kyushu University,2020-06-06,2020-11-22,2020,2026-05-17T15:02:44+07:00
KGTbf4c84bc,0151811075,Praktisi_Industri,Bank Indonesia,2022-01-09,2022-06-14,2022,2026-05-17T15:02:44+07:00
KGTc471931b,0967432076,Pembina_Prestasi,Unila,2023-03-15,2023-12-21,2023,2026-05-17T15:02:44+07:00
KGTc7f56844,0967432076,QS100,PT Astra International,2024-02-29,2025-02-10,2024,2026-05-17T15:02:44+07:00
KGTc806f762,0319834077,Tridarma_PT_Lain,JICA Indonesia,2020-01-26,2021-01-21,2020,2026-05-17T15:02:44+07:00
KGT0054e6be,0319834077,Tridarma_PT_Lain,ITS,2021-06-18,2021-10-29,2021,2026-05-17T15:02:44+07:00
KGTd1af8a8d,0319834077,QS100,TU Delft,2020-06-10,2021-04-16,2020,2026-05-17T15:02:44+07:00
KGT90655716,0319834077,Praktisi_Industri,Unila,2024-01-20,2024-03-25,2024,2026-05-17T15:02:44+07:00
KGTa1381511,0745110078,QS100,UNDP Indonesia,2021-03-27,2021-06-05,2021,2026-05-17T15:02:44+07:00
KGT8915c668,0745110078,QS100,BMKG,2025-04-01,2025-05-19,2025,2026-05-17T15:02:44+07:00
KGT0faeea2b,0745110078,Praktisi_Industri,PT Telkom Indonesia,2022-03-21,2022-04-27,2022,2026-05-17T15:02:44+07:00
KGT40e2c4cb,0376716079,Praktisi_Industri,Unila,2024-01-27,2024-05-21,2024,2026-05-17T15:02:44+07:00
KGTd8b1ca80,0376716079,QS100,Kyushu University,2025-05-20,2025-07-14,2025,2026-05-17T15:02:44+07:00
KGT09d45099,0772118081,Praktisi_Industri,PT Telkom Indonesia,2022-01-07,2022-02-25,2022,2026-05-17T15:02:44+07:00
KGT685395e9,0772118081,Tridarma_PT_Lain,Bank Indonesia,2025-01-24,2025-10-07,2025,2026-05-17T15:02:44+07:00
